Chip,Plate_Location,Population_Name,no_accent_pop_name,Sample,CEL_file_name,Sex,Paternal_ID,Maternal_ID,Phenotype,Notes,Owner,Private/Public,City,State/Province,Country,Region,Latitude,Longitude,Year,Include_in_chip_manuscript
1,G08,Maraba,Maraba,Mar_008,Mar_008,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G09,Maraba,Maraba,Mar_009,Mar_009,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G10,Maraba,Maraba,Mar_011,Mar_011,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G11,Maraba,Maraba,Mar_012,Mar_012,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,G12,Maraba,Maraba,Mar_013,Mar_013,,,,,,Andrea Gloria-Soria,,Maraba,Para,Brazil,New_World,-5.361295,-49.11663,2010,
1,H01,Thailand,Thailand,TH_01,TH_01,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H02,Thailand,Thailand,TH_02,TH_02,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H03,Thailand,Thailand,TH_03,TH_03,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H04,Thailand,Thailand,TH_04,TH_04,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H05,Thailand,Thailand,TH_05,TH_05,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H06,Thailand,Thailand,TH_06,TH_06,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H07,Thailand,Thailand,TH_07,TH_07,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H08,Thailand,Thailand,TH_08,TH_08,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H09,Thailand,Thailand,TH_09,TH_09,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H10,Thailand,Thailand,TH_10,TH_10,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
1,H11,Thailand,Thailand,TH_11,TH_11,,,,,,Andrea Gloria-Soria,,Bangkok,,Thailand,Asia_Pacific,,,2006,yes
2,A01,OX513A,OX513A,OX513_002,OX513_002,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,A02,OX513A,OX513A,OX513_011,OX513_011,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,A03,OX513A,OX513A,OX513_019,OX513_019,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,A04,OX513A,OX513A,OX513_032,OX513_032,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,A05,Pre_Release_Centro,Pre_Release_Centro,Jac_086,Jac_086,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
